NodeName,OAGName,Name,City,Lon,Lat
YNB,Yanbo Saudi Arabia,Yanbu Airport,Yanbu,38.06,24.14
YNJ,Yanji China,Yanji Airport,Yanji,129.44,42.89
YNT,Yantai China,Laishan Airport,Yantai,121.37,37.41
YNZ,Yancheng China,Yancheng Airport,Yancheng,120.13,33.39
YOW,Ottawa ON Canada,Ottawa/Macdonald-Cartier International Airport,Ottawa,-75.67,45.32
YQB,Quebec City QC Canada,Quebec Airport,Quebec,-71.38,46.79
YQG,Windsor ON Canada,Windsor Airport,Windsor,-82.96,42.27
YQR,Regina SK Canada,Regina Airport,Regina,-104.66,50.43
YQT,Thunder Bay ON Canada,Thunder Bay Airport,Thunder Bay,-89.31,48.37
YSB,Sudbury ON Canada,Sudbury Airport,Sudbury,-80.8,46.62
YSJ,Saint John NB Canada,Saint John Airport,Saint John,-65.89,45.33
YTZ,Toronto(City Centre) ON Canada,Toronto City Centre Airport,Toronto,-79.4,43.63
YUD,Umiujaq QC Canada,Umiujag Airport,Umiujag,-76.55,56.55
YUL,Montreal(P.E. Trudeau) QC Canada,Pierre Elliott Trudeau International Airport,Montreal,-73.75,45.46
YUS,Yushu Xian China,NULL,Yushu ,97.13,32.83
YVR,Vancouver(Intl) BC Canada,Vancouver International Airport,Vancouver,-123.18,49.19
YWG,Winnipeg (Richardson Intl) MB Canada,Winnipeg James Armstrong Richardson International ,Winnipeg,-97.23,49.9
YXE,Saskatoon (Diefenbaker Intl) SK Canada,Saskatoon Airport,Saskatoon,-106.69,52.17
YXU,London ON Canada,Metropolitan Area Airport,London,-81.15,43.03
YXX,Abbotsford BC Canada,Abbotsford Airport,Abbotsford,-122.36,49.03
YYC,Calgary AB Canada,Calgary International Airport,Calgary,-114.01,51.13
YYT,St. Johns NL Canada,St. Johns International Airport',St. Johns',-52.74,47.61
YYZ,Toronto(Pearson Intl) ON Canada,Pearson International Airport,Toronto,-79.61,43.68
ZAG,Zagreb Croatia,Pleso Airport,Zagreb,16.06,45.73
ZAH,Zahedan International Iran,Zahedan Airport,Zahedan,60.9,29.48
ZAL,Valdivia Chile,Pichoy Airport,Valdivia,-73.24,-39.79
ZAM,Zamboanga Philippines,Zamboanga Airport,Zamboanga,122.06,6.92
ZAT,Zhaotong China,Zhaotong Airport,Zhaotong,103.8,27.32
ZAZ,Zaragoza Spain,Zaragoza Airport,Zaragoza,-1.01,41.66
ZCL,Zacatecas Mexico,La Calera Airport,Zacatecas,-102.55,22.8
ZCO,Temuco Chile,Temuco Airport,Temuco,-72.64,-38.77
ZHA,Zhanjiang China,Zhanjiang Airport,Zhanjiang,110.36,21.21
ZHY,Zhongwei China,NULL,Zhongwei ,105.17,37.52
ZIG,Ziguinchor Senegal,Ziguinchor Airport,Ziguinchor,-16.28,12.56
ZLO,Manzanillo Mexico,Manzanillo Airport,Manzanillo,-104.35,19.11
ZNZ,Zanzibar Tanzania,Kisauni Airport,Zanzibar,39.22,-6.22
ZOS,Osorno Chile,Canal Balo Airport,Osorno,-73.06,-40.61
ZRH,Zurich Switzerland,Zurich Airport,Zurich,8.56,47.45
ZUH,Zhuhai China,Zhuhai Airport,Zhuhai,113.37,22.01
ZYL,Sylhet Bangladesh,Civil Airport,Sylhet,91.87,24.96
